Route Number,Source and Destination,Stops
71,Kalyan Bail Bazar Chowk ↔ Belapur Station,"['Kalyan Bail Bazar Chowk', 'Raheja Complex Phool Market', 'Patri Pul Kalyan', 'Netvali', 'Damodar Nagar', 'LOK Gram', 'Chakki Naka', 'Chetana School', 'Radha Krushna Park', 'Nandivali', 'Anmol Garden', 'Nandivali', 'Aadavali Stand', 'Namaskar Dhaba', 'Dwarli Gaon', 'Bhal', 'Nevali Naka / Pipe Line', 'Usatane Phata', 'Khoni Gaon', 'Kumbharli Phata', 'Palava Project Office / Petrol Pump', 'Dharmaleshwar Shankar Mandir', 'A.C.C.Cement Company', 'Pagdya Pada', 'Chirad / Pali', 'Naren Phata', 'Usatane Gaon', 'Asis Company', 'Nagzari Gaon', 'Nitlas Gaon', 'Nitlas Phata / Asahi Glass Company', 'Sakal Bhavan', 'Tondare Phata', 'Kingfisher Company', 'B.E.L.Naka Taloja', 'T.M.A.', 'Water Tank', 'Hindalco Company', 'Rexam Company', 'Dena Bank', 'Crown', 'Pendhar Phata', 'Petrol Pump Pendhar', 'Navade Phata', 'Navade Gaon', 'Devkrupa Society', 'Roadpali Ambedkar Nagar', 'Kalamboli Roadpali (Pallavi Hotel)', 'Roadpali (Kalamboli)', 'Cidco Water Tank', 'Kalamboli Sector 16 Roadpali', 'Talav Chowk', 'Balaji Crest Society', 'Manisha Paradise Society', 'Police Head Quarter', 'Kalamboli Police Headquarter', 'Hyderabad State Bank / Spring Colony', 'Taloja Phata', 'Spageti Gharkul', 'Kopra Gaon', 'Hiranandani Highway Kharghar', 'Kharghar Railway Station', 'CIDCO Bhavan (Konkan Bhavan)', 'Belapur Station']"
64ext,MBP Mahape ↔ Kalyan Bail Bazar Chowk,"['MBP Mahape', 'Sarovar Hotel / Mahape Junction', 'Mahape Junction', 'Lipi Computers', 'L&T Company Mahape', 'Adavali Bhutawali', 'Bajrang Hotel', 'Khadichi Machine', 'Cidco Water Supply', 'Punjab Puja Hotel', 'Shil Nursery', 'Shil Phata Mahape Road', 'Kalyan Phata (Dahisar Gaon)', 'Kalyan Phata (Datta Mandir)', 'Chintamani Hotel / Jain Mandir', 'Mhatrewadi / Patilwadi', 'Padale Gaon (Main Road)', 'Khidkali Mandir', 'Khidkali', 'Lodha Complex', 'Palava', 'Katai Gaon', 'Badlapur Junction', 'Pipeline Kole Gaon', 'Premier Company', 'Manpada Gaon', 'Mangaon', 'Pimpleshwar Temple', 'Sonarpada', 'Chaughule Vidyalay / G.R. Patil College', 'Dombivali Nagari Sahakari Bank', 'Nekni Pada', 'Dawadi Naka', 'Vicco Naka', 'Goalavali Gaon', 'Pandurang Wadi', 'Monark', 'Tata Power / Tisavali Naka', 'Suchak Naka', 'Netvali', 'Metro Mall Junction', 'Patri Pul Kalyan', 'Raheja Complex Phool Market', 'Kalyan Bail Bazar Chowk']"
2,Thane ↔ Airoli Sector No.10,"['Thane', 'Dadoji Kondadev Stadium', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village', 'M.S.E.B Digha', 'Reliable Plaza', 'Airoli Naka', 'Minds Space', 'Airoli Station', 'Bharat Bijlee Airoli', 'Airoli Bus Station', 'Airoli Sector 4 (Abhang Society)', 'Airoli Sector 5 / Abhang Society', 'Sahakar Bazar (Airoli)', 'Om Mangalmurti Scoiety', 'Sairaj Society', 'Swaraj Society', 'Javli Bank / Apple Hospital', 'Gurudatta Society Airoli', 'D Mart Sector 10', 'Siddhivinayak Mandir Sector 10', 'Airoli Sector No.10']"
75,Sai Nagar ↔ Panvel Station (W),"['Sai Nagar', 'Riddhi Siddhi Society', 'Gurupushpa Society', 'Talathi Office', 'Kalan Samaj Mandir', 'Dargah Naka', 'Panvel Mahanagar Pailka Office', 'Valmiki Nagar / Civil Hospital', 'Panvel Police Station', 'Sarawat Bank', 'Thane Naka / Cuff Nagar', 'Amardham / C.K.T College', 'New Panvel Bridge', 'Orion Mall Panvel', 'Panvel Bus Station / Shivajinagar', 'Panvel Station (W)']"
47_ext,Kharkopar Station ↔ Belapur Railway Station,"['Kharkopar Station', 'Shelghar', 'Ulwe Node Sector 17', 'Tejas Height Society Sector 17', 'Adinath Society Sector 17', 'Om Sai Srushti Sector 17', 'Kasturi Heritage', 'Prabhat Heights', 'Delta Tower Sector 8', 'Bhagvati Group Sector 9', 'Bamandongri Station (W)', 'N.M Sez / Morave Junction', 'Moreshwar Heritage', 'Nagri Arogya Kendra (Ulwe)', 'Bamandongri Station (E)', 'Anand Astha Society Sector 19', 'Shagun Reality Chowk / Fire Brigade Center', 'Vahal Sai Mandir', 'Morave Phata', 'Motha Ulwa Village', 'Targhar / Kombadbhuje', 'Reti Bunder Ulwe', 'Kille Village', 'Bramha House', 'Sai Sangam Society', 'Diwale Village', 'Belapur Station / Central Bank', 'Raigad Bhavan', 'Belapur Railway Station']"
31,Koparkhairane Bus Station ↔ Ghansoli Depot,"['Koparkhairane Bus Station', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Terna College (Pool)', 'Ghansoli Dargah', 'Ghansoli Railway Station (W)', 'Panchavati', 'Siddheshwar Society', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Ghansoli Depot)', 'Rajiv Gandhi College', 'Bhoomi Oscar Chowk', 'Megh Malhar Society', 'Cloud 36 Society', 'Atlantis Society', 'Ghansoli Depot']"
53,Kharghar Valley Shilp Gate No.2 ↔ Kharghar Station,"['Kharghar Valley Shilp Gate No.2', 'Kharghar Valley Shilp Gate No.1', 'Swapnapurti Gate No.2', 'Swapnapurti Gate No.1 Sector 36', 'Kutuk Bandhan', 'Gokuldham Developers', 'Bank Of India Sector 35 Kharghar', 'Sector 35 Circle', 'Pethgaon Sector No.33', 'Pethpada Metro Station / Ramsheth Thakur College', 'Sai Developers (Sector 27)', 'Rajanpada Gaon', 'Divya Residency', 'L.M.Hostel', 'Sanjivani School', 'Vastu Vihar Kharghar', 'Spageti Gate No.2', 'D.A.V.School', 'Spageti Gate No.4', 'Spageti / Parijat', 'Gharkul Society Kharghar', 'D Mart Gharkul', 'Gharkul Corner', 'Nagari Arogya Kendra Kharghar', 'Kendriya Vihar Sector No.12 / Navrang Hotel', 'Kendriya Vihar', 'Canara Bank', 'Hiranandani Complex Kharghar', 'Little World', 'Siemens Ltd.', 'Kharghar Station']"
4,Vashi Sector 7 Bus Station ↔ Thane,"['Vashi Sector 7 Bus Station', 'Vashi Sector 8', 'Kamgar Hospital', 'Vashi Sector 4', 'Vashi Sector 4', 'Vashi Sector 3 / Gurudwara', 'Vashi Bus Station', 'Vashi Bus Station', 'Vashi Sector 9/16', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 10/15', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Juhu Village Sector 14', 'Vashi Sector 29', 'Mega Mart / O.E.S International School', 'Bonkode Village / Kalash Udyan', 'R.F Naik School', 'Indira Gandhi Engineering College', 'Maldhanisar Kendra / Sector 23', 'Mata Bal Hospital', 'Dnyan Vikas School', 'Jimmy Tower', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Helan Kelar Institute', 'MBP Mahape', 'MBP Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Mahape Naka', 'Ghansoli Station', 'Standard Alkali Company', 'Ghansoli Naka', 'Talavali Naka / Nocil Company', 'Rabale Station', 'Rabale Naka', 'Rabale Police Station', 'Siemens Company', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village', 'Ganesh Nagar', 'Mukund Company Bridge', 'Ganpati Pada (Vitava Naka)', 'Vitava Naka', 'Vitava Village', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane']"
2ext,Thane ↔ Ghansoli Depot,"['Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Kalwa Depot', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village', 'M.S.E.B Digha', 'Reliable Plaza', 'Airoli Naka', 'Minds Space', 'Airoli Station', 'Bharat Bijlee Airoli', 'Airoli Bus Station', 'Siemens Company', 'Rabale Police Station', 'Rabale Naka', 'Rabale Station', 'Gothivali Village / Telephone Exchange', 'Talavali Naka / Nocil Company', 'Ghansoli Naka', 'Standard Alkali Company', 'Ghansoli Station', 'Mahape Naka', 'Helan Kelar Institute', 'M.B.P Mahape (Millennium Business Park)', 'M.B.P Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Terna Engineering College', 'Sant Rajinder Singh Ashram', 'Navi Mumbai Co.Op.Bank', 'Ghansoli Dargah', 'Ghansoli Railway Station (W)', 'Panchavati', 'Siddheshwar Society', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Ghansoli Depot)', 'Rajiv Gandhi College', 'Bhoomi Oscar Chowk', 'Megh Malhar Society (Sector 10)', 'Cloud 36 Society', 'Atlantis Society', 'Ghansoli Depot']"
13,Sanpada Station ↔ Samant Vidyalaya Sanpada,"['Sanpada Station', 'Sanpada Highway', 'Turbhe Gaon (B.O.I.Road)', 'Samant Vidyalaya Sanpada']"
8,Vashi Station ↔ Thane,"['Vashi Station', 'Center One Mall (Vashi)', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Vashi Sector 9/16', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 10/15', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Juhu Village Sector 14', 'Vashi Sector 29', 'Mega Mart / O.E.S International School', 'Bonkode Village / Kalash Udyan', 'R.F Naik School', 'Indira Gandhi Engineering College', 'Maldhanisar Kendra / Sector 23', 'Mata Bal Hospital', 'Dnyan Vikas School', 'Jimmy Tower', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Terna College', 'Ghansoli Dargah', 'Ghansoli Railway Station (W)', 'Santoshi Mata Mandir', 'Ghansoli Sector 6 / Gharonda', 'Ghansoli School', 'Samarth Nagar / Ashirwad Hospital', 'Ghansoli Village', 'Samarth Nagar / Ashirwad Hospital', 'Ghansoli School', 'Talavali Naka / Nocil Company', 'Talavali Gaon Char Phata', 'Rabale Station (W) / Gothivali Gaon', 'Rabale Gaon', 'St.Xaviers School', 'Om Mangalmurti Scoiety', 'Sahakar Bazar (Airoli)', 'Airoli Sector 5 / Abhang Society', 'Airoli Sector 4 (Abhang Society)', 'Airoli Bus Station', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village', 'Ganesh Nagar', 'Mukund Company Bridge', 'Ganpati Pada (Vitava Naka)', 'Vitava Naka', 'Vitava Village', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane']"
56,Police Commissioner Office (Kalamboli) ↔ Mansarovar Railway Station,"['Police Commissioner Office (Kalamboli)', 'Nilkanth Majestic', 'Sai Amrut Towers', 'Talav Chowk', 'Kalamboli Sector 16 Roadpali', 'Maharashtra School Sector 13', 'Gurudwara Kalamboli', 'Karamil School', 'Satyam Tower', 'Church / S.T.Sub Station', 'Kalamboli Bus Station', 'Kalamboli Naka', 'Fire Brigade Kalamboli / Abhyudaya Bank', 'Kalamboli Gaon', 'Kalamboli Chowk (Mumbra Road)', 'Kalamboli Chowk (M.G.M.Hospital)', 'Kalamboli Colony', 'Kamothe Village / K.L.E College', 'Jain Park', 'Dr.B.R.Ambedkar Chowk / Kamothe Police Station', 'Krushna Hotel / Swastik Krushna Society', 'Patel Plaza', 'Mothi Jui Phata', 'Mansarovar Railway Station']"
30,Uran Pensioner Park (Char Phata) ↔ Kalamboli Roadpali,"['Uran Pensioner Park (Char Phata)', 'ST Stand Uran', 'ONGC Colony Uran', 'Teli Pada / Mulakhand', 'Navin Sheva', 'Shivrai Chowk (Dronagiri Sector 47)', 'Riddhi Siddhi (Dronagiri Sector 50)', 'Nirmal Heights (Dronagiri Sector 51)', 'MSEB Gas Turbine', 'Bharat Petrolium Company', 'Hind Turminals Company', 'Bhendkhal Gaon', 'Balmer Lawrie', 'Bhendkhal', 'Navghar', 'Funde College', 'J.N.P.T Bus Station', 'Navghar Phata Bus Station', 'Ramshankar Container', 'Dastan Toll Plaza', 'Dastan Phata Bus Station', 'Saint Stephens School', 'Jasai', 'Chirner Phata / Chirle Phata', 'Shankar Mandir (Jasai)', 'Shirke Company', 'Gavhan Phata', 'Sainagar Vahal', 'Vahal', 'Morave Phata', 'Motha Ulwa Village', 'Targhar / Kombadbhuje', 'Reti Bunder Ulwe', 'Kille Village', 'Bramha House', 'Sai Sangam Society', 'Diwale Village', 'Agarwal Trade Centre', 'Belapur Station / Central Bank', 'Raigad Bhavan', 'Belapur Station', 'Konkan Bhavan', 'C.B.D Belapur Highway / Konkan Bhavan', 'Kharghar Railway Station / Belpada Gaon', 'Hiranandani Highway Kharghar', 'Kopra Gaon', 'Spageti Gharkul', 'Taloja Phata', 'Kamothe Phata', 'Kamothe Village / K.L.E College', 'Kalamboli Colony', 'Kalamboli Chowk (M.G.M.Hospital)', 'Kalamboli Chowk (Mumbra Road)', 'Kalamboli Gaon', 'Fire Brigade Kalamboli / Abhyudaya Bank', 'Kalamboli Naka', 'Kalamboli Bus Station', 'Church / S.T.Sub Station', 'Power House', 'Power House', 'Infinot House', 'Cidco Water Tank', 'Kalamboli Roadpali']"
4ext,Thane ↔ Ghansoli Depot,"['Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Kalwa Depot', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village', 'M.S.E.B Digha', 'Reliable Plaza', 'Airoli Naka', 'Minds Space', 'Airoli Station', 'Bharat Bijlee Airoli', 'Siemens Company', 'Rabale Police Station', 'Rabale Naka', 'Rabale Station', 'Gothivali Village / Telephone Exchange', 'Talavali Naka / Nocil Company', 'Ghansoli Naka', 'Standard Alkali Company', 'Ghansoli Station', 'Mahape Naka', 'Helan Kelar Institute', 'M.B.P Mahape (Millennium Business Park)', 'M.B.P Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Terna Engineering College', 'Sant Rajinder Singh Ashram', 'Navi Mumbai Co.Op.Bank', 'Ghansoli Dargah', 'Ghansoli Railway Station (W)', 'Panchavati', 'Siddheshwar Society', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Ghansoli Depot)', 'Rajiv Gandhi College', 'Bhoomi Oscar Chowk', 'Megh Malhar Society (Sector 10)', 'Cloud 36 Society', 'Atlantis Society', 'Ghansoli Depot']"
3,Thane ↔ Koparkhairane Bus Station,"['Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Patni Company Airoli', 'Mindspace (Capgemini)', 'Axis Bank', 'Neva Garden', 'Smashan Bhumi Airoli', 'Airoli Sector 20', 'Swastik Vrindavan Society Sector 19', 'N.H.P School', 'J.V.M College Airoli', 'Sewage Treatment Plant Airoli', 'Abhyudaya Bank Airoli', 'Airoli Sector 17', 'Airoli Sector 16', 'Diva Gaon Kopra', 'Airoli Sector 8', 'Municipal School Sector 7', 'Javli Bank / Apple Hospital', 'Swaraj Society', 'Saint Xaviers High School', 'Rabale Gaon', 'Rabale Station (W) / Gothivali Gaon', 'Talavali Gaon Char Phata', 'Talvali Gaon', 'Gaondevi Mandir Talvali', 'Smashan Bhumi Talvali', 'Bhoomiraj Queen Bridge Sector 16', 'Murbadevi Chowk Ghansoli', 'Kaul Ali Ghansoli', 'Vaishali Building | Ghansoli Depot', 'Atlantis Society', 'Cloud 36 Society', 'Megh Malhar Society', 'Akhil Maharashtra Mathadi Gruha Sankul', 'Lokshahir Annabhau Sathe Chowk', 'Kopar Khairane Sector 2/20', 'Ranjan Devi Chowk', 'Koparkhairane Bus Station', 'Koparkhairane Bus Station']"
47ext,Badlapur ↔ Panvel Station (W),"['Badlapur', 'Veer Savarkar Chowk', 'Chhatrapati Shivaji Maharaj Chowk / Apte Wadi', 'Gandhi Chowk', 'Badlapur Railway Station', 'Badlapur Pul', 'Swami Samarth Nagar', 'Ghorpade Chowk', 'Katrap Gaon', 'Ganesh Ghat', 'Belavali Petrol Pump', 'Hotel Sun & Sand', 'Camel Convent High School', 'Chikhloli Gaon', 'N.M.R.L.', 'Power Section', 'Pipe Line Junction', 'Morivali Mhada Colony', 'Pritam Hotel', 'Anand Nagar', 'Rangoli Hotel / Vurdhashram', 'Pale Village', 'Shanti Prakash Ashram', 'Dadar Village', 'Nevali Gaon', 'Nevali Naka / Pipe Line', 'Usatane Phata', 'Khoni Gaon', 'Kumbharli Phata', 'Umbharli Gaon', 'Hira Nagar', 'Hedutane', 'Hedutane Pada / Samadhan Hotel', 'Kole Village', 'Katai Junction / Naka', 'Katai Gaon', 'Palava', 'Lodha Complex', 'Khidkali', 'Khidkali Mandir', 'Padale Gaon', 'Mhatrewadi / Patilwadi', 'Chintamani Hotel / Jain Mandir', 'Kalyan Phata (Datta Mandir)', 'Kalyan Phata Daighar', 'Shil Phata Mahape Road', 'Shil Nursery', 'Punjab Puja Hotel', 'Cidco Water Supply', 'Khadichi Machine', 'Bajrang Hotel', 'Adavali Bhutawali', 'L&T Company Mahape', 'Lipi Computers', 'Mahape Junction', 'Mahape Gaon', 'Nelco', 'Ramnath Solar', 'Pavan Industries', 'Krishna Steel', 'Hayko', 'Shalimar', 'Sunravi Printers', 'Bagade Engineers', 'Indira Nagar', 'Indira Nagar', 'Dambar Plant', 'Turbhe Naka', 'Turbhe Naka (Janta Market)', 'Sanpada Police Station', 'Juinagar Station (Herdilla Co.)', 'Shirvane Village', 'Nerul Naka', 'Dr D.Y Patil Stadium (Nerul)', 'S.B.I Colony / Tata Press', 'Uran Phata', 'C.B.D Belapur Highway / Konkan Bhavan', 'Kharghar Railway Station / Belpada Gaon', 'Hiranandani Highway Kharghar', 'Kopra Gaon', 'Spageti Gharkul', 'Taloja Phata', 'Kamothe Phata', 'Kamothe Village / K.L.E College', 'Kalamboli Colony', 'Kalamboli Chowk (M.G.M.Hospital)', 'Asudgaon Depot Highway', 'Khanda Gaon Netrajyot Hospital', 'Khanda Gaon Colony', 'Thane Naka / Garden Hotel', 'Amardham / C.K.T College', 'New Panvel Bridge', 'Orion Mall Panvel', 'Panvel Bus Station / Shivajinagar', 'Panvel Station (W)']"
54,Taloja Gaon | RAF Camp ↔ Kharghar Station,"['Taloja Gaon | RAF Camp', 'Papadicha Pada', 'Parshi Pada', 'Gokuldham Developers', 'Kutuk Bandhan', 'Taloja Jail', 'Ganesh Mandir Sector 35', 'Sai Wonder Ove Gaon', 'Sai Satsang', 'Empyrean School', 'Ove Camp', 'Tata Cancer Hospital', 'Gurudwara', 'Central Park / Pandav Kada', 'Hare Krishna Mandir', 'Jesus Saint Merry School', 'Tulsi Gagan Society', 'A.P.J.School', 'Raghunath Vihar', 'Kharghar Gram Panchayat Office', 'Gharkul Corner', 'Nagari Arogya Kendra Kharghar', 'Kendriya Vihar Sector No.12 / Navrang Hotel', 'Kendriya Vihar', 'Canara Bank', 'Hiranandani Complex Kharghar', 'Little World', 'Siemens Ltd.', 'Kharghar Station']"
78,Panvel Railway Station (E) ↔ B.E.L.Naka Taloja,"['Panvel Railway Station (E)', 'Abhyudaya Bank Panvel', 'Fire Brigade Panvel', 'Cidco Office Sector 1', 'Shabari Hotel', 'Kalpataru Arcade', 'D Mart (Panvel East)', 'M.T.N.L.Office', 'Ganesh Krupa Society Sector 6', 'Gree Cee Aspira Society', 'Sahyadri Dhada', 'Hotel Ekveera', 'Madhuram Housing Society', 'Tembhode Gaon / Nevali Gaon', 'Vasantnagar', 'Shri Kshetra Ganeshnagar Tembhode', 'Crusher Plant', 'Valvali Gaon', 'Sanjay Gandhi Smarak School Padghe', 'Pushpa Niketan School', 'Pale Budruk / Karsoni Vihar Society', 'Sai Prasad Food Company', 'Valap Gaon', 'Sainagar Valap Gaon', 'Hedutane', 'Dashrath Tukaram Patil Praveshdwar', 'Bharat Electronics Company', 'B.E.L.Naka Taloja']"
66,Kalyan Bail Bazar Chowk ↔ Ghansoli Station,"['Kalyan Bail Bazar Chowk', 'Raheja Complex Phool Market', 'Patri Pul Kalyan', 'Metro Mall Junction', 'Netvali', 'Suchak Naka', 'Tata Power / Tisavali Naka', 'Monark', 'Pandurang Wadi', 'Goalavali Gaon', 'Vicco Naka', 'Dawadi Naka', 'Nekni Pada', 'Dombivali Nagari Sahakari Bank', 'Sonar Pada', 'Sonarpada', 'Pimpleshwar Temple', 'Mangaon', 'Manpada Gaon', 'Premier Company', 'Pipeline Kole Gaon', 'Katai Junction / Naka', 'Katai Gaon', 'Lodha Complex', 'Khidkali', 'Khidkali Mandir', 'Padale Gaon (Main Road)', 'Mhatrewadi / Patilwadi', 'Chintamani Hotel / Jain Mandir', 'Kalyan Phata (Datta Mandir)', 'Kalyan Phata (Dahisar Gaon)', 'Shil Phata Mahape Road', 'Shil Nursery', 'Punjab Puja Hotel', 'Cidco Water Supply', 'Khadichi Machine', 'Bajrang Hotel', 'Adavali Bhutawali', 'L&T Company Mahape', 'Lipi Computers', 'Mahape Junction', 'Sarovar Hotel / Mahape Junction', 'MBP Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Mahape Naka', 'Ghansoli Station']"
73,Panvel Station (W) ↔ Kalyan Bail Bazar Chowk,"['Panvel Station (W)', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot Highway', 'Kalamboli Chowk (Mumbra Road)', 'Kalamboli Gaon', 'Kalamboli Fire Brigade', 'R.T.O.Office Kalamboli', 'Khidukpada Village', 'Roadpali', 'Roadpali Ambedkar Nagar', 'Devkrupa Society', 'Navade Gaon', 'Navade Phata', 'Petrol Pump Pendhar', 'Pendhar Phata', 'Crown', 'Dena Bank', 'Rexam Company', 'Hindalco Company', 'Water Tank', 'T.M.A.', 'B.E.L.Naka Taloja', 'Kingfisher Company', 'Tondare Phata', 'Sakal Bhavan', 'Nitlas Phata / Asahi Glass Company', 'Nitlas Gaon', 'Nagzari Gaon', 'Asis Company', 'Usatane Gaon', 'Naren Phata', 'Chirad / Pali', 'Pagdya Pada', 'A.C.C.Cement Company', 'Dharmaleshwar Shankar Mandir', 'Palava Project Office / Petrol Pump', 'Kumbharli Phata', 'Khoni Gaon', 'Usatane Phata', 'Nevali Naka / Pipe Line', 'Bhal', 'Dwarli Gaon', 'Namaskar Dhaba', 'Aadavali Stand', 'Nandivali', 'Anmol Garden', 'Nandivali', 'Radha Krushna Park', 'Chetana School', 'Chakki Naka', 'Chakki Naka', 'LOK Gram', 'Damodar Nagar', 'Netvali', 'Metro Mall Junction', 'Patri Pul Kalyan', 'Raheja Complex Phool Market', 'Kalyan Bail Bazar Chowk']"
41,Vashi Station ↔ Dombivali (Shastri Nagar Hospital),"['Vashi Station', 'Center One Mall (Vashi)', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'Mafco Market Sanpada', 'Sanpada Station', 'Sanpada Highway', 'Turbhe Village', 'Turbhe Naka (Flyover End)', 'Turbhe Naka', 'Dambar Plant', 'Lubrizol Company | Indiranagar', 'Indira Nagar', 'Bagade Engineers', 'Sunravi Printers', 'Shalimar', 'Hayko', 'Krishna Steel', 'Pawan Industries', 'Ramnath Solar', 'Nelco Mahape', 'Mahape Gaon', 'Mahape Junction', 'Lipi Computers', 'L&T Company Mahape', 'Adavali Bhutawali', 'Bajrang Hotel', 'Khadichi Machine', 'Cidco Water Supply', 'Punjab Puja Hotel', 'Shil Nursery', 'Shil Phata Mahape Road', 'Kalyan Phata (Dahisar Gaon)', 'Kalyan Phata (Datta Mandir)', 'Chintamani Hotel / Jain Mandir', 'Mhatrewadi / Patilwadi', 'Padale Gaon (Main Road)', 'Khidkali Mandir', 'Khidkali', 'Lodha Complex', 'Katai Gaon', 'Badlapur Junction', 'Pipeline Kole Gaon', 'Premier Company', 'Manpada Gaon', 'Mangaon', 'Pimpleshwar Temple', 'Sonarpada', 'Chaughule Vidyalay / G.R. Patil College', 'Dombivali Nagari Sahakari Bank', 'Nekni Pada', 'Dawadi Naka', 'Vicco Naka', 'Milap Nagar Corner', 'Pendharkar College', 'Aajde Gaon (Gharda Circle)', 'Shelar Naka', 'Parasmani Chowk (Tilak Chowk)', 'Char Phata (Dombivali)', 'SK Patil Chowk', 'Tandon Road', 'SK Patil College (Dombivali)', 'Ram Nagar', 'Dombivali (Shastri Nagar Hospital)']"
77,Panvel Station (E) ↔ Mahalaxmi Nagar Nere,"['Panvel Station (E)', 'Abhyudaya Bank Panvel', 'Fire Brigade Panvel', 'Indian Bank / Union Bank', 'Sai Sandesh Society', 'New Panvel Bus Station (Sector 12)', 'Terna Hospital Panvel', 'Sukapur Chowk', 'Sainagar Nere Road', 'Sukapur', 'Shree Hospital / Karnala Bank', 'Malewadi', 'Akurli', 'St.Thomas School', 'Akurli Gaon', 'Chipale Pul', 'Bhokarpada', 'Bonshet Phata', 'Chipale', 'Chipale Vihighar', 'Vijaya Bank', 'Koproli Gaon', 'Royal Meadows', 'Naupada', 'Mahalaxmi Nagar Nere']"
